Course Number,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
LACS 22822,"How does one represent the largest Spanish-speaking city in the world? With a sprawling, 600-page novel? With a short-story? A feature film? Street photography or aerial views? Does the urban experience itself give shape to certain narratives or styles? This course will examine portrayals of Mexico City in literature, film, and photography since the 1950s, in order to attempt some answers. Just like Paris or New York, Mexico City has inspired generations of authors who have tried their hand at representing this 500-year-old city of roughly 22 million people. We will trace the city's modern transformations through those cultural products that aim to build an image of the place. How do these artworks shape (or contest) the collective imagination of the city? By examining representations of this Latin American capital, we will articulate questions regarding inequality, overpopulation, modernization, and the foreign gaze. In addition to cultivating critical and historical perspectives on the urban experience, we will also engage creatively with the city that surrounds us, Chicago. Works to be discussed may include the likes of Roberto Bolaño, Carlos Monsiváis, Alfonso Cuarón, Valeria Luiselli, and Juan Villoro, among others. Besides adding to your knowledge of Mexican cultural history, and improving your close reading and critical thinking skills, this course is designed to continue building on your linguistic competence in Spanish.",,SPAN 22822 ,Taught in Spanish. Course not offered in 24-25 ,Luis Madrigal 
LACS 23025,"En este curso leeremos y discutiremos las vidas de varias mujeres y hombres comunes perseguidos por la Inquisición hispánica entre 1500 y 1800, aproximadamente, tanto en Europa y el Mediterráneo como en las Américas. La mayoría de estas vidas fueron dichas por los mismos acusados frente a un tribunal eclesiástico. Estas autobiografías orales, producidas en condiciones de máxima dureza y precariedad, revelan la forma en que la vida cotidiana es moldeada e interrumpida por el poder. Leeremos las historias de hombres transgénero, mujeres criptojudías, campesinos moriscos, renegados, profetas y monjas acusadas de sodomía, entre otras; y discutiremos temas como la relación entre poder y subjetividad, heterodoxia y cultura popular, las formas narrativas del yo o la articulación biográfica de la clase, la raza y el género en la primera modernidad. Estas 'vidas ínfimas', a pesar de su concreta individualidad, permiten ofrecer un amplio panorama de la historia cultural y social de España y América en la era de la Inquisición.",Course not offered in 24-25. ,"LACS 33025, SPAN 33025, SPAN 23025 ",,M. Martínez
LACS 23424,"In this course we will go over the last one hundred years in the cultural history of Brazil, a Latin American country which has dealt with multiple labels throughout the years, ranging from post-racial paradise to the country of the future. We will focus on Brazilian literature, from the 1920s to the present day, but we will also consider cinema and other types of art and how they have shaped artists' perception of their nation as a project. How have writers and filmmakers in the last century dealt with the legacy of colonialism and slavery? How have artists depicted and envisioned such a heterogenous continental country? What are the latest trends in Brazilian literature and arts and how do they engage with or depart from tradition? In this course, which will be taught in English, we will close read and discuss texts and films not only by canonical artists such as Clarice Lispector, Guimarães Rosa and Glauber Rocha but also by other artists who have been shaping the new directions of Brazilian art today.",,PORT 23424 ,,Eduardo Leão 
LACS 24110,"This course provides a survey of of ecocritical studies in Latin America. Through novels, poems, and films, we will examine a range of trends and problems posed by Latin American artists concerning environmental issues, from mid-nineteenth century to contemporary literature and film. Readings also include works of ecocritical criticism and theory that have been shaping the field in the past decades.",Course not offered in 24-25. ,"SPAN 24110, PORT 34110, SPAN 34110, PORT 24110, LACS 34110 ",,V. Saramago
LACS 24170,"La picaresca es un género de ficción en prosa con una tradición multisecular en las literaturas en español y con gran influencia en la historia de la novela moderna. La pobreza y la marginalidad convierte a los pícaros y las pícaras que protagonizan estas historias en astutos maestros en el arte de sobrevivir, en héroes plebeyos que luchan contra las determinaciones de la fortuna en una sociedad dinámica, pero sólidamente jerarquizada. Leeremos, por una parte, el ""Lazarillo de Tormes,"" algunas ""Novelas ejemplares"" de Cervantes, fragmentos de ""La pícara Justina"" y del ""Guzmán."" Por otra, exploraremos los usos del género en algunas novelas modernas escritas en España y Latinoamérica, terminando con ejemplos de ficción televisiva contemporánea. Las estéticas del realismo y la novela moderna, la literatura y la economía, el humor y el lenguaje, el género y la sexualidad, la voz autobiográfica, las subjetividades de la marginalidad, o la relación entre el género picaresco y la historia nacional son algunos de los temas que guiarán nuestras lecturas y discusiones.",Course not offered in 24-25. ,"LACS 34170, SPAN 34170, SPAN 24170 ",,M. Martínez
LACS 24801,"The production of crime fiction in the Hispanic literary world has a long tradition that dates back to the mid-nineteenth century and has recently gained critical attention as postmodern literary theories focus on fictional forms that are both popular and self-conscious. This course studies the historical development of the genre in Hispanic letters, as well as its formal and ideological foundations. Authors likely to be discussed include Emilia Pardo Bazán, Jorge Luis Borges, Maria Antònia Oliver, Manuel Vázquez Montalbán, Luisa Valenzuela, Mario Vargas Llosa, Marina Mayoral, Gabriel García Márquez, and Ricardo Piglia.",Course not offered in 24-25. ,"SPAN 34800, LACS 34801, SPAN 24801 ",SPAN 20300 or consent of instructor ,M. Santana
LACS 24901,"With a focus on the past two decades, this interdisciplinary course explores the impact of economic integration, urbanization, and migration on Mexico and, to a lesser extent, on the United States-in particular, working class communities of the Midwestern Rust Belt. The course will examine work and life in the borderland production centers; agriculture, poverty, and indigenous populations in rural Mexico; evolving trade and transnational ties (especially in people, food products and labor, and drugs) between the U.S. and Mexico; and trade, trade adjustment, and immigration policy.",Autumn ,"PBPL 24901, SOCI 20251 ",,C. Broughton
LACS 25135,"The course explores Latin America's historical evolution, analyzing the factors that have promoted or limited its economic development from the 16th century to the present. It seeks to familiarize students with the main debates on the economic history of the region, including the most recent literature. Despite its diversity, Latin American countries share several common traits, linked to its past, that have resulted in lower levels of income and greater poverty than the Global North, and very high inequality by international standards. This course aims to acquaint students with Latin America's diversity and, at the same time, identify its common characteristics. The course will delve into the following traits, that although unevenly distributed through the region, have shaped Latin America's economic development: indigenous legacies, colonial extraction, slavery, European migration, political fragmentation and instability, integration into the global economy through commodities' exports, low educational levels, poor innovation and financial development, limited industrialization, and frequent macroeconomic crises.",Autumn ,LACS 35135 ,,Aurora Gómez Galvarriato
LACS 25136,"Until recently, democracies died dramatic deaths. Tanks rolled out, politicians were arrested, a free press was suddenly closed. In recent years, the coup d'état is being replaced by slower and less easily identified challenges to democratic governance. The attacks often arise from within, as elected leaders chip away at democratic institutions and norms. What are the causes of the erosion of democracy? What are the early warning signs, and can it be reversed?",Autumn ,LACS 35136 ,,Cristobal Bellolio
LACS 25137,"This workshop will focus on literature as a tool to explore tragic and traumatic events in history, such as wars, genocides, and natural disasters, among others. Through different examples, we will review different poetic and narrative forms that delve into historical and personal memory, remembering, reflecting, and analyzing events that have marked the lives of individuals, communities, and nations. We will discuss how writing can be an effective way of coping with the painful burden of history, helping to heal the wounds of the past, as well as to reflect on the ways in which literature can serve as a way of preserving the memory of the victims of these tragic events, allowing their stories to be told, remembered and honored in order to bring us a little closer to reparation and justice.",Winter ,LACS 35137 ,,Carlos Soto Román
LACS 25138,"The objective of the course is to introduce key demographic concepts and measures to analyze population size, composition, and distribution, as well as the three demographic components: fertility, mortality, and migration. The course discusses the main demographic techniques for period and longitudinal data, most frequently used in demographic analyses. The course aims at developing basic skills for population analysis, such as understanding and applying the Lexis diagram; identifying period, cohort, and age measures; calculating and interpreting main demographic indicators, to build and critically analyze life tables, and properly using standardization and decomposition methods to compare populations. The course has a strong focus on the application of demographic techniques to census data from different Latin American countries at different points in time, which enhances comprehension over the course of the demographic transition in place in the region, and the applicability of these measures to understand recent demographic trends. Applications with be conducted using software Excel and R.",Winter ,LACS 35138 ,,Luciana Soares Luz do Amaral
LACS 25640,Course Description TBA,Spring ,"LACS 35640, LING 35640, CRES 25640, LING 25640 ",,Tulio Bermudez
LACS 25660,"This course examines the ways histories of US intervention in Latin America have been engaged in cultural practice. We assess the history of US intervention by reading primary documents alongside cultural artifacts including film, performance and visual art, song, music, and poetry. The course begins with the Cuban revolution and ends with the ongoing crisis in Puerto Rico.",Autumn ,"SPAN 25660, LACS 35660, SPAN 35660 ",,D. Roper
LACS 26722,"Today, institutions of education have become one of the most intense sites of the so-called ""culture wars,"" both in Latin America and the United States. This situation, of course, is part of a longer history. In this course, we will explore the complex relations between literature and institutions of learning in twentieth-century Latin America in order to understand (or try to understand) the institutional, cultural and political present we now face. On the one hand, we will read essays on the subject by important Latin American pedagogues, who were most times in charge of developing their countries' educational systems. On the other, we will read works of fiction (short stories, novels, memoirs) that formulate concrete images of the 'school experience.' We'll pay attention to the ways in which the school distributed cultural capital (knowledges, skills, tastes) and produced cultural difference (nationality, gender, race, class) amongst subjects. In this sense, the objective of the class is to provide students with historical, linguistic and analytic tools they can use to understand and shape their institutional present.",,SPAN 26722 ,,Enrique Macari 
LACS 27401,"En este curso se estudiarán algunos ejemplos salientes de las literaturas producidas en el Caribe hispánico insular (Cuba, Puerto Rico y Santo Domingo) durante el siglo XX y a principios del XXI.  Entre los asuntos a discutir tendrán un lugar principal los modos en que esta producción se ha constituído como respuesta y elaboración estética de las historias de esclavitud, violencia racial y colonialismo, de militarización y desplazamientos territoriales migratorios, que han marcado a la región en su carácter de frontera imperial desde el siglo XVI. En el curso también se abordará la condición simbólica  del Caribe como espacio de utopías y catástrofes, escenario previlegiado tanto de las aspiraciones revolucionarias propias de la modernidad (e.g. la Revolución Haitiana del 1791 y la Revolución Cubana del 1959) como de los terrores de la destrucción ecológica (con su experiencia cruel de huracanes y terremotos).",Course not offered in 24-25. ,"CRES 37401, SPAN 27401, SPAN 37401, CRES 27401, LACS 37401 ","At least one of the following courses: SPAN 21500, 21703, 21803, 21903, or 22003. ",A. Lugo-Ortiz
LACS 27511,"Uno de los aspectos más notables de las culturas del Caribe hispanohablante, tanto insular como continental, a todo lo largo del siglo XX, y hasta el presente, ha sido el diálogo sostenido entre la textualidad literaria y la música. En este curso nos interesa trazar las distintas maneras en que la literatura ha invocado la inefabilidad aural de lo musical y reflexionar sobre sus posibles sentidos. Desde la forma del son en la poesía afroantillana, pasando por la estructura de las variaciones y fugas barrocas en la obra de Alejo Carpentier, hasta la incesante invocación al bolero y a la salsa en la narrativa más reciente, la escritura literaria en el Caribe más que decir parecería querer sonar y cantar. ¿Qué da cuenta de ello? ¿Cómo entender su particularidad? ¿Qué efectos produce? En el curso haremos una introducción básica al repertorio de formas musicales activados por ese decir literario, en ambos sus dimensiones estéticas e históricas, y examinaremos los sentidos de su apropiación y transformación por el hecho textual. Entre las posibles obras a estudiar se encuentran ""Elogio de la plena"" de Tomás Blanco, ""El acoso"" y Concierto barroco de Alejo Carpentier, La guaracha del Macho Camacho de Luis Rafael Sánchez, ¡Qué viva la música! de Andrés Caicedo, Maldito amor de Rosa Ferré, El entierro de Cortijo de Edgardo Rodríguez Juliá, Sólo cenizas hallarás de Pedro Vergés y Sabor a mí de Pedro Juan Gutiérrez, entre otras.",Course not offered in 24-25. ,"SPAN 37510, SPAN 27510, LACS 37511 ",,
LACS 27660,"On September 11, 1973, a US-backed military coup in Chile brought down the government of Salvador Allender, the first democratically elected Marxist president in Latin America. The military dictatorship that governed over the course of the following two decades brought about radical transformation to the macro- and micropolitical dynamics of Chile. This course is a survey of the art and literature produced during the years of dictatorship. We study the work of some of the most consequential literary and artistic figures active during the years of the dictatorship. The unprecedented level of experimentation in the arts and literature of this period will be studied vis-a-vis the radically shifted social and affective coordinates faced by those living in Chile during the dictatorship. Works by Catalina Parra, Diamela Eltit, Lotty Rosenfeld, Nelly Richard, Adriana Valdés, José Donoso, Raúl Zurita, and others.",Course not offered in 24-25. ,"LACS 37660, SPAN 27660, SPAN 37660 ",,Sergio Delgado Moya
LACS 28922,"Have you ever written a diary? Have you ever asked ""what for""? Why tell a life, and why not? Can every life story be told? How? All these questions bundle behind a more general one: why is the ""self"" such a hot topic in contemporary literature? How has literature reacted to this interest in subjectivity? In this course we will look into --and challenge-- a series of terms that tend to be confused: autobiography, autobiographical novel, memoir, diary, autofiction, correspondence. Are these distinctions helpful? What kind of ""truth"" do they look up to? Are all lives worth their telling? How has that changed with time? We will read contemporary authors that engage with these different genres. We will read about splendid and ""minor"" lives. We will study maniac authors that simply can't interrupt their production. (The instructor is one of these rare creatures!) We will delve into the main critical discussions of the field and use them to think of the different types of autobiographical works that will be covered in the program. Also, once a week (myself included) we will write a short reading diary entry as a hands-on ""autobiographical"" practice.",Course not offered in 24-25. ,SPAN 28922 ,,Pablo Ottonello
LACS 29299,"This course examines the concept of language identity (i.e., the language[s] people employ to represent themselves) in multilingual Creolophone communities, particularly in Haiti. This course also examines the relationships between language identity, learning, language use, and literacy development in these societies. By the end of the course, students will be able to explain: 1) what language identity in multilingual Creolophone community reveal about speakers and their language attitudes; 2) how context and mode of communication can impact language identity and language use; 3) literacy acquisition and achievement in Creole communities; and 4) how Creolophones' learning and literacy development are affected by language policies and ideologies. A final project will require students to design and conduct a preliminary sociolinguistic study based on students' interests in the French-Creolophone world.",Spring ,"FREN 29301, KREY 29300 ","Knowledge of French and Kreyòl will be helpful, but not required. ",Gerdine Ulysse
LLSO 21005,"This class is an introduction to international human rights law. It will cover the main international human rights instruments (treaties, conventions, declarations, and the opinions of international courts and human rights bodies) and institutions that operate at the international level. The course will also cover the conceptual foundations of international human rights law, the organization and structure of the United Nations human rights system and regional human rights bodies. The interaction between national and international systems and their cooperation in enforcing international human rights law will also be covered. Finally, we will discuss a couple of countries, including Afghanistan under the Taliban, as case studies to highlight the challenges that face international human rights law in the contemporary world. There are no preconditions for taking this course.",Spring ,HMRT 21006 ,,Staff
LLSO 22214,"This course will provide an introduction to the concrete legal contexts in which issues of gender and sexuality have been articulated and contested. Students will be asked to think critically about the intersections of law, society, and gender while considering both the potential and the limitations of our legal system. Students will explore how gender constructs law, and how law constructs gender. Through engaging with readings that span law and society, feminist legal theory, constitutional scholarship, and case law, students will be able to identify, situate, and debate some of the basic premises of what constitutes justice and equality in a liberal democracy. Readings will draw from primary and secondary resources related to gender & law in the US. While some court cases/case law will be read, our focus is on the broader relationship between law and society (no technical legal knowledge is required). We will study the evolution of our legal system's stance on topics including marriage/divorce, violence, discrimination, contraception/abortion, sexual orientation, privacy, Title IX, and more. Students will be invited to bring to bear a variety of feminist, queer, critical race, and intersectional tools on our discussions of the historical evolution of these issues and their current trends. Students will develop an original research paper, which will be workshopped throughout the quarter and will culminate in a symposium of students' original research on gender & law.",Spring ,GNSE 22213 ,,Lara Janson
LLSO 27250,"The rhetoric and practice of ""trial"" -- as testing and as adjudication -- is central to religious thought and religious practice. This course will examine the idea and the act of ""trial"" comparatively, via the classics of the religious literatures of Judaism and of Christianity (Genesis 22, Job, the Gospel of Mark, ""The Pilgrim's Progress,"" Kafka), and also cinema (Dreyer's ""Joan of Arc,"" R. & S. Elkabetz's ""Gett"").",Winter ,RLST 27250 ,,Richard Rosengarten
LLSO 28035,"To what extent can we change our world by changing our laws? We will explore this question through an intensive study of Karl Marx's writings. Although Marx is most widely known for his arguments about political economy and revolution, his earliest scholarly energies were devoted to jurisprudence and throughout his life he frequently returned to questions about the law's nature, possibilities, and limits. He did so not only in his analyses of the modern state and capitalism, but also in his efforts to document the goals, victories, and setbacks of democratic movements, labor unions, and political radicals as they navigated repressive legal systems, fought for legal reforms, and developed alternative visions of how to regulate social life. We will therefore draw on diverse genres of writing from across Marx's life as we explore the relationship between law and social transformation.",Spring ,PLSC 28035 ,,Sarah Johnson
LLSO 28036,"This seminar is devoted to Karl Marx's writings from the 1840s. During this vibrant decade in his intellectual development, Marx explored questions about law, politics, critique, and revolution, and he studied political economy for the first time. Our primary goal will be to investigate the relationships among these preoccupations. Enrollment is limited to students who have completed their SOSC requirement.",Autumn ,PLSC 28036 ,Enrollment is limited to students who have completed their SOSC requirement.  ,Sarah Johnson
LLSO 28050,"This is a survey of the main themes of the American Constitution-popular sovereignty, separation of powers, federalism, and rights-and of the basic techniques of constitutional interpretation. The course introduces the history and doctrines of American constitutional law primarily through the analysis of cases.",Winter ,DEMS 28050 ,,David Lebow
LLSO 28080,"The first half of this course will survey literature on the historical transition from feudalism to capitalism. The second half of the course will examine current debates about whether a transition is underway from capitalism to ""neo-feudalism"" or ""techno-feudalism.""",Winter ,PLSC 28080 ,,David Lebow
LLSO 29020,"Guerrillas, liberators, and oppressed groups of all kinds have appealed to resistance as an organizational strategy, political theory, and moral justification. Resistance is violent or non-violent, active or passive, individual or collective, bodily or intellectual. Often it involves breaking the law. This course explores the diverse histories of resistance in the modern world. Readings include H. D. Thoreau's essay on civil disobedience; Angela Davis's lectures on liberation; Rosa Luxemburg's pamphlet on the mass strike; Frantz Fanon's defense of anticolonial violence; Hannah Arendt's critique of student violence; and Audre Lorde's theses on intersectional feminist resistance. To provide context, we will discuss the international labor movement; decolonization; and the contemporary politics of Black Lives Matter, Standing Rock, Antifa, and climate protest. Together we will test at least one hypothesis: To resist means to manipulate a regime of oppression, to subvert it from within, but never entirely to escape it.",Winter ,HIST 28306 ,,Terence Renaud
LLSO 29065,"The ""Theories of Capitalism"" sequence introduces students to classic texts in the history of economic thought. Students may take just one of the two courses: Early Theories of Capitalism or Twentieth-Century Theories of Capitalism. Enrollment in both is strongly encouraged but not required. Across the two courses, we examine diverse accounts of the forces that govern capitalist societies and the distinctive problems that emerge within them. As we do this, we also look closely at how the economists who developed these theories demarcated the economic domain of human life and we consider how their efforts to understand it were shaped by a rich body of intellectual resources. Early Theories of Capitalism focuses on the theoretical and practical concerns that animated economic writing in the eighteenth and nineteenth centuries. Among these are questions about the origins of wealth and value, the effect of machines on the production process, the role of the state in economic life, and the condition and fate of the working class. Readings may include texts by Adam Smith, David Ricardo, John Stuart Mill, Carl Menger, and Alfred Marshall.",Winter ,PLSC 23065 ,,Sarah Johnson
LLSO 29066,"The Theories of Capitalism sequence introduces students to classic texts in the history of economic thought. Students may take just one of the two courses: Early Theories of Capitalism or Twentieth-Century Theories of Capitalism. Enrollment in both is strongly encouraged but not required. Across the two courses, we examine diverse accounts of the forces that govern capitalist societies and the distinctive problems that emerge within them. As we do this, we also look closely at how the economists who developed these theories demarcated the economic domain of human life and we consider how their efforts to understand it were shaped by a rich body of intellectual resources. Many of the questions that we explore in the first part of the sequence reappear in Twentieth-Century Theories of Capitalism. Yet, in this course, we also attend to new preoccupations that emerged as capitalism continued to evolve. In Spring 2024, this course will emphasize approaches that situate capitalism within broader theories of society. Readings may include texts by Karl Polanyi, John Maynard Keynes, Friedrich Hayek, Geoff Mann, Simon Clarke, David Graeber, and Stephanie Kelton.",Spring ,PLSC 29066 ,,David Lebow
LLSO 29701,"How is the global economy governed? Through what institutions, legal mechanisms, and norms? What role do Anglo-American law, international law, and other legal regimes play in the flow of capital, goods, and people across state borders? Seeking to answer these questions, this three-week intensive course draws from history, law, economics, political science, and political philosophy in order to both understand the development of global economic governance over time and critically assess what paths it might take in the future.",Autumn ,GLST 29091 ,,Jonathan Levy 
LLSO 29702,"This course has two related aims: to consider how the regulation of economic life-from the household to the global economy-has figured as an object of analysis within feminist thought; and to examine how this analysis, together with the conceptual resources of political economy, has informed feminist theories of domination, freedom, equality, rights, and justice. Readings may include works by Simone de Beauvoir, Angela Davis, bell hooks, Iris Marion Young, Catharine MacKinnon, Nancy Fraser, and Aihwa Ong. The course includes a substantial research requirement, which invites students to draw upon the insights of these theorists as they use archival sources to conduct their own analyses of economic life. Enrollment is limited to undergraduates who have completed their Social Sciences Core requirement.",Winter ,"PLSC 25068, GNSE 20117 ",Enrollment is limited to undergraduates who have completed their Social Sciences Core requirement. ,Sarah Johnson
LLSO 29703,"The premise for this course is that anthropology, as well as other domains of social inquiry, have unacknowledged and unredeemed debts to captivity as structure, experience, and event, from the penal colony to the slave plantation. This course is an attempt to begin to think about those debts through readings in anthropology, history, and philosophy.",,ANTH 22727 ,"Open only to 3rd and 4th year students in the College, with some preference for majors in Anthropology & LLSO. ",Darryl Li 
LLSO 29706,"Race Law takes the law of race as a distinct body of study. It examines how statutes, cases, and other legal materials create racial categories, and how the legal definitions of race are used to reinforce and establish social hierarchies and to exclude certain categories of persons from full rights-bearing legal personhood. This class explores legal cases and primary sources from colonial America to the present to map out the legal construction of race over time.  Although incorporating non-legal sources to highlight that the law is not a ""black box"", the class focuses on the role of law in crafting our understanding of what race means.  ""Race Law"" will be a small junior colloquium geared at students interested in pursuing the topic of law and race for their senior thesis.",Spring ,CRES 29706 ,,Evelyn Atkinson
LING 20001,"This course offers a brief survey of how linguists analyze the structure and the use of language. Looking at the structure of language means understanding what phonemes, words, and sentences are, and how each language establishes principles for the combinations of these things and for their use; looking at the use of language means understanding the ways in which individuals and groups use language to declare their social identities and the ways in which languages can change over time. The overarching theme is understanding what varieties of language structure and use are found across the world's languages and cultures, and what limitations on this variety exist.",Autumn Spring Winter ,COGS 22000 ,,"2022-2023: Erik Zyman (Autumn), Jacob Phillips (Winter), Laura Stigliano (Spring) 2023-2024: Lenore Grenoble (Autumn), Staff (Winter and Spring)"
LING 20101,"This course is an introduction to the study of speech sounds and their patterning in the world's languages. The first half of the course focuses on how speech sounds are described with respect to their articulatory, acoustic, and perceptual structures. There are lab exercises both in phonetic transcription and in the acoustic analysis of speech sounds. The second half focuses on fundamental notions that have always been central to phonological analysis and that transcend differences between theoretical approaches: contrast, neutralization, natural classes, distinctive features, and basic phonological processes (e.g., assimilation).",Spring ,COGS 22001 ,LING 20001 ,2022-2023: Jason Riggle (Spring) 2023-2024: Jason Riggle (Autumn)
LING 20110,"In this interdisciplinary course, students will delve into the multifaceted world of large language models (LLMs), investigating their computational, cognitive, and social dimensions. The course covers an array of topics, such as the history and evolution of LLMs, computational underpinnings like neural networks and training methodologies, cognitive aspects of human-like language understanding, communication, and creativity, as well as crucial ethical and social considerations, encompassing fairness, transparency, trustworthiness, and privacy. Through both lectures and discussions, we will examine the scientific and practical applications and limitations of LLMs across diverse domains and contemplate the future prospects and challenges LLMs pose for science, technology, and society. Through critical discourse, hands-on exercises, and case studies, our goal is to foster a comprehensive understanding of LLMs, empowering students to critically assess these models and contribute to ongoing dialogues regarding their broader implications. Prior experience in computer science or cognitive science is beneficial but not mandatory. Note: this course primarily focuses on cultivating reflective thinking about LLMs, rather than programming or implementation. Students with programming skills are, however, encouraged to utilize them to facilitate their learning.",Autumn ,COGS 20100 ,,Eugene Yu Ji
LING 20201,"This course is an introduction to basic goals and methods of current syntactic theory through a detailed analysis of a range of phenomena, with emphasis on argumentation and empirical justification. Major topics include phrase structure and constituency, selection and subcategorization, argument structure, case, voice, expletives, and raising and control structures.",Winter ,COGS 22003 ,LING 20001 ,2023-2023: Amy Dahlstrom
LING 21000,"Why is the plural of child in English children and not *childs? Why is undoable ambiguous ((i) 'unable to be done', (ii) 'able to be undone'), while unkillable isn't (only 'unable to be killed')? Unhappier is intuitively composed of several, smaller pieces: un-, happy, and -er; but what about unkempt? These questions are the purview of MORPHOLOGY, the field of linguistics devoted to studying the internal structure of words and how they are formed. Consequently, in this course we will investigate the nature of morphemes, in all their cross-linguistic shapes and guises. Key concepts which will frame our discussion include inflection, syncretism, allomorphy, and blocking. The only prerequisite for this course is LING 20001: Introduction to Linguistics.",Winter ,COGS 22005 ,LING 20001 ,Amy Dahlstrom
LING 21300,"This course deals with the issue of variation and change in language. Topics include types, rates, and explanations of change; the differentiation of dialects and languages over time; determination and classification of historical relationships among languages, and reconstruction of ancestral stages; parallels with cultural and genetic evolutionary theory; and implications for the description and explanation of language in general.",Winter ,"ANTH 47300, LING 31300 ",Intro to Linguistics and Intro to Phonetics and Phonology or Graduate student status ,Tulio Bermúdez
LING 22000,"Within the general area of language and ideology this course addresses issues that relate to Modern Greek dialects and the history of diglossia in the geographical area of Modern Greece. Standardization, language purification and several attempts of language planning of various success in the history of Greek are discussed and compared to other representative examples in the relevant literature, as well as various types of language oppression, which are attested in the history of Greek-speaking communities. The role of Atticism (the artificial mimicking of Classical Greek) in developing and sustaining high (H) forms of the language until today is examined in relation to social inequalities and (un)equal access to education. A brief history of the language and its writing systems are included, in relation also to the role of religious institutions and in particular the role of the Greek Orthodox Church in the issues under discussion. Students will be encouraged to draw parallels to cases of diglossia and language planning in other cultures and other speech communities. Participation and distinction in this course does not require previous knowledge of any stage or variety of Greek.",Spring ,"MOGK 32000, MOGK 22000, LING 32000 ",,Katerina Chatzopoulou
LING 22460,"Seminar on Sound Change. One of the great mysteries of linguistics is the so-called actuation problem (Weinreich, Labov, and Herzog 1968), that is, what causes the inception of language change, if the linguistic conditions favoring particular changes are always present? Recent work has drawn on interspeaker variation for a solution to the actuation puzzle. The main impetus for considering individual differences in the context of sound change comes from the need to build a linking theory that bridges the gap between the emergence of new linguistic variants and their eventual propagation. This seminar will explore sources of individual linguistic differences, and the role they may play in the initiation and propagation of sound change. By ""individual differences"", we refer to those psychological, sociological, genetic and/or behavioral differences between the individuals who make up a speech community at the levels of production, perception and cognitive representation. Some questions we will consider in detail at this seminar include: How do individual differences affect variation? How do they affect the initiation, phonologization, and propagation of changes? How do they relate to community patterns?",Winter ,LING 52400 ,,Alan Yu
LING 23360,"IIn this course we will explore methods of research used in the disciplines of linguistics and psychology to investigate sign language and gesture. We will choose a set of canonical topics from the gesture and sign literature such as pointing, use of the body in quotation, and the use of non-manuals, in order to understand the value of various effective methods in current use and the types of research questions they are best equipped to handle.",Autumn ,"CHDV 23360, CHDV 33360, PSYC 23360, PSYC 33360, LING 33360 ",,"S. Goldin-Meadow, D. Brentari"
LING 24400,"This course is an overview of the syntactic framework of Lexical Functional Grammar (LFG), a constraint-based, non-transformational approach particularly well suited to typologically diverse languages and to computational implementation. Topics covered include nonconfigurationality, treatments of passive, applicative and other relation-changing rules, control, long-distance dependencies, anaphora, and logophoricity.",Spring ,LING 44400 ,For undergraduates: having taken LING 20201 Introduction to Syntax is recommended. ,Amy Dahlstrom
LING 24650,"In this course, we explore how African American speech is defined and what it suggests about the relationship between race and language. Specifically, we explore the dialect's earliest linguistic descriptions, trace its historical development, interrogate its significance in entertainment and pop culture, and evaluate language attitudes and their implications in the education and courtroom settings. By the end of the course, you will recognize and describe dialectal patterns, as well as be able to challenge linguistic prejudice against the variety and its speakers.",Autumn ,"CRES 24650, LING 34650 ",,Sharese King
LING 25680,TBD.,Autumn ,LING 35680 ,,Itamar Francez
LING 26002,"This course is an introduction to sociolinguistics, the study of language in its social context. We will look at variation at all levels of language and how this variation constructs and is constructed by identity and culture, including relationships between language and social class, language and gender, and language and ethnicity. We will also discuss language attitudes and ideologies, as well as some of the educational, political, and social repercussions of language variation and standardization.",Spring ,LING 36002 ,LING 20001 ,2022-2023: Sharese King 2023-2024: Lenore Grenoble
LING 26601,"In this class we will cover computational techniques for collecting linguistic data. We will also cover various methods for using algorithms to analyze that data and some basic computational theory to understand the complexity and efficiency of our algorithms. We will use the programming language Python and focus on real-world applications to gain experience in gathering, manipulating, and analyzing data from sources such as field-work, corpora, or experiments. No previous knowledge of programming is required.",Winter ,LING 36601 ,,"Riggle, Jason."
LING 27131,"You can nail a postcard to the wall with a dart but you can't microwave it with anything other than a microwave. This seems not to be a fact about nails and microwaves, but rather about English verbs that are derived from nouns.  Is it a random fact, or does it correlate systematically with other facts about verbs derived from nouns that a linguistic theory should account for? This class is an introduction to basic concepts and issues in the study of word meaning within theoretical linguistics. It explores grammatical regularities in word meaning, what kinds of information can be grammatically encoded by words, how the meaning of a word can determine the word's syntactic distribution, and how it relates to the inferences people draw from the utterances in which a word occurs. The course will demonstrate that addressing questions of lexical meaning draws on the full resources of linguistic theory and methodology.",Autumn ,COGS 22014 ,LING 20301 - Introduction to Semantics and Pragmatics ,"Francez, Itamar"
LING 27150,"The field of Linguistic Landscapes examines the public display of languages, dialects, and writing systems: who is the author and audience of such messages? which languages are chosen for official signage? what can we learn about present or past multilingualism? what is conveyed by nonstandard dialect forms or stylized writing? In this course students will collaborate on creating an online map of Chicago with geo-tagged images.  At least three weekend days will be spent on field trips to Chicago neighborhoods.",Autumn ,CHST 27150 ,,Amy Dahlstrom
